week_number,tournament_name,start_date,end_date,location,notes
1,Sony Open in Hawaii,2026-01-15,2026-01-18,Hawaii,
2,The American Express,2026-01-22,2026-01-25,California,
3,Farmers Insurance Open,2026-01-29,2026-02-01,California,
4,WM Phoenix Open,2026-02-05,2026-02-08,Arizona,
5,AT&T Pebble Beach Pro-Am,2026-02-12,2026-02-15,California,Signature event
6,Genesis Invitational,2026-02-19,2026-02-22,California,Signature event
7,Cognizant Classic,2026-02-26,2026-03-01,Florida,
8,Arnold Palmer Invitational,2026-03-05,2026-03-08,Florida,Signature event
9,The Players Championship,2026-03-12,2026-03-15,Florida,Flagship event
10,Valspar Championship,2026-03-19,2026-03-22,Florida,
11,Texas Children's Houston Open,2026-03-26,2026-03-29,Texas,
12,Valero Texas Open,2026-04-02,2026-04-05,Texas,
13,Masters Tournament,2026-04-09,2026-04-12,Georgia,Major
14,RBC Heritage,2026-04-16,2026-04-19,South Carolina,Signature event
15,Zurich Classic of New Orleans,2026-04-23,2026-04-26,Louisiana,Team event
16,Cadillac Championship,2026-04-30,2026-05-03,Florida,Signature event (new)
17,Truist Championship,2026-05-07,2026-05-10,North Carolina,Signature event
18,PGA Championship,2026-05-14,2026-05-17,Pennsylvania,Major
19,CJ Cup Byron Nelson,2026-05-21,2026-05-24,Texas,
20,Charles Schwab Challenge,2026-05-28,2026-05-31,Texas,Invitational
21,Memorial Tournament,2026-06-04,2026-06-07,Ohio,Signature event
22,RBC Canadian Open,2026-06-11,2026-06-14,Canada,
23,U.S. Open,2026-06-18,2026-06-21,New York,Major
24,Travelers Championship,2026-06-25,2026-06-28,Connecticut,Signature event
25,John Deere Classic,2026-07-02,2026-07-05,Illinois,
26,Genesis Scottish Open,2026-07-09,2026-07-12,Scotland,
27,The Open Championship,2026-07-16,2026-07-19,England,Major
28,3M Open,2026-07-23,2026-07-26,Minnesota,
29,Rocket Classic,2026-07-30,2026-08-02,Michigan,
30,Wyndham Championship,2026-08-06,2026-08-09,North Carolina,
